id;type;cat_title;URL;keyword;keywords_cons;keywords_pro
5;food;Рыба мороженая неразделанная;https://www.perekrestok.ru/catalog/zamorojennye-produkty/ryba?attr%5B1903%5D%5B%5D=ryba;рыба;охл\.?|охлажд|филе|без\s+головы|без\s+кожи|б\s*/\s*г|креветк|миди|кальмар|варено|потр;
5;food;Рыба мороженая неразделанная;https://www.okeydostavka.ru/msk/ryba-moreprodukty-i-ikra-16572-20/ryba-okhlazhdennaia-i-zamorozhennaia-16583-20;рыба;охл\.?|охлажд|филе|без\s+головы|без\s+кожи|б\s*/\s*г|креветк|миди|кальмар|варено|потр;
5;food;Рыба мороженая неразделанная;https://www.utkonos.ru/cat/4190;рыба;охл\.?|охлажд|филе|без\s+головы|без\s+кожи|б\s*/\s*г|креветк|миди|кальмар|варено|потр;
5;food;Рыба мороженая неразделанная;411.0;рыба;охл\.?|охлажд|филе|без\s+головы|без\s+кожи|б\s*/\s*г|креветк|миди|кальмар|варено|потр;
6;food;Сельдь соленая;https://online.globus.ru/search/?section_id=670&q=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_848_25111632=Y&searchFilter_880_1706429935=Y&set_filter=Y&count=64;сельдь;форшмак;
6;food;Сельдь соленая;https://www.perekrestok.ru/catalog/ryba-i-moreprodukty/ryba-solenaya?attr%5B1602%5D%5B%5D=seld;сельдь;форшмак;
6;food;Сельдь соленая;https://www.okeydostavka.ru/msk/ryba-moreprodukty-i-ikra-16572-20/rybnaia-gastronomiia-16584-20/ryba-solenaia-i-kopchenaia-16586-20;сельдь;форшмак;
6;food;Сельдь соленая;https://www.utkonos.ru/cat/79-128-735;сельдь;форшмак;
6;food;Сельдь соленая;501.0;сельдь;форшмак;
7;food;Масло сливочное;https://online.globus.ru/search/?section_id=621&q=%D0%A1%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5+%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&count=64;масло сливочное;"маргарин|спред;чесночн;шоколад;соленое|топл[её]ное";
7;food;Масло сливочное;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/slivochnoe-maslo-i-margarin?attr%5B1853%5D%5B%5D=maslo-slivochnoe;масло сливочное;"маргарин|спред;чесночн;шоколад;соленое|топл[её]ное";
7;food;Масло сливочное;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/molochnye-produkty-16101-20/maslo-slivochnoe-i-margarin-16113-20;масло сливочное;"маргарин|спред;чесночн;шоколад;соленое|топл[её]ное";
7;food;Масло сливочное;https://www.utkonos.ru/cat/15-2207-985556 https://www.utkonos.ru/cat/4261-2207-985556;масло сливочное;"маргарин|спред;чесночн;шоколад;соленое|топл[её]ное";
7;food;Масло сливочное;701.0;масло сливочное;"маргарин|спред;чесночн;шоколад;соленое|топл[её]ное";
8;food;Масло подсолнечное;https://online.globus.ru/search/?section_id=729&q=%D0%A0%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5%20%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&searchFilter_1060_3481289395=Y&set_filter=Y&count=64;подсолнечное;"топл[её]ное|кукурузн|оливк|льнян|кокосов|горчичн|виноградн|кунжутн|соевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха";
8;food;Масло подсолнечное;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/maslo-rastitelnoe?attr%5B1586%5D%5B%5D=podsolnechnoe;подсолнечное;"топл[её]ное|кукурузн|оливк|льнян|кокосов|горчичн|виноградн|кунжутн|соевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха";
8;food;Масло подсолнечное;https://www.okeydostavka.ru/msk/rastitel-nye-masla-sousy-i-pripravy-16598-20/maslo-rastitel-noe-16609-20;подсолнечное;"топл[её]ное|кукурузн|оливк|льнян|кокосов|горчичн|виноградн|кунжутн|соевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха";
8;food;Масло подсолнечное;https://www.utkonos.ru/cat/43-1411-687607;подсолнечное;"топл[её]ное|кукурузн|оливк|льнян|кокосов|горчичн|виноградн|кунжутн|соевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха";
